Didok number;Stop name;Date ;Public holiday;Weekday;Nationaler Feiertag;Service Typ;Service;Closed;From 1;until1;From 1;until3;From 1;until3;Company;Schlüssel;OPUIC
3003;Zürich Stadelhofen;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;;06:45;18:45;;;;;SBB;3003-2024-05-01T00:00:00-9999;8503003
3003;Zürich Stadelhofen;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;;06:45;18:45;;;;;SBB;3003-2024-04-01T00:00:00-9999;8503003
3006;Zürich Oerlikon;2024-05-01;Tag der Arbeit;Wednesday;ja;2104;Saisonal geschlossen;;08:00;18:00;;;;;SBB;3006-2024-05-01T00:00:00-2104;8503006
3006;Zürich Oerlikon;2024-03-29;Karfreitag;Friday;ja;2104;Saisonal geschlossen;;08:00;18:00;;;;;SBB;3006-2024-03-29T00:00:00-2104;8503006
3010;Zürich Enge;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;;09:30;12:00;13:00;17:30;;;SBB;3010-2024-05-09T00:00:00-9999;8503010
3010;Zürich Enge;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;;09:30;12:00;13:00;17:30;;;SBB;3010-2024-04-01T00:00:00-9999;8503010
3016;Zürich Flughafen;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;;06:30;21:00;;;;;SBB;3016-2024-05-20T00:00:00-9999;8503016
3016;Zürich Flughafen;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;;06:30;21:00;;;;;SBB;3016-2024-05-01T00:00:00-9999;8503016
3016;Zürich Flughafen;2024-03-31;Ostern;Sunday;ja;9999;Alle Services;;06:30;21:00;;;;;SBB;3016-2024-03-31T00:00:00-9999;8503016
3101;Küsnacht ZH;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3101-2024-08-01T00:00:00-9999;8503101
3101;Küsnacht ZH;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;3101-2024-05-01T00:00:00-9999;8503101
3104;Meilen;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3104-2024-05-20T00:00:00-9999;8503104
3107;Stäfa;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3107-2024-05-20T00:00:00-9999;8503107
3110;Rapperswil;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;;08:00;17:00;;;;;SBB;3110-2024-05-20T00:00:00-9999;8503110
3110;Rapperswil;2024-05-19;Pfingsten;Sunday;ja;9999;Alle Services;;08:00;17:00;;;;;SBB;3110-2024-05-19T00:00:00-9999;8503110
3110;Rapperswil;2024-03-31;Ostern;Sunday;ja;9999;Alle Services;;08:00;17:00;;;;;SBB;3110-2024-03-31T00:00:00-9999;8503110
3116;Uznach;2024-05-10;Auffahrtsbrücke;Friday;ja;9999;Alle Services;;08:00;12:00;13:00;16:00;;;SBB;3116-2024-05-10T00:00:00-9999;8503116
3116;Uznach;2024-03-28;Gründonnerstag;Thursday;ja;9999;Alle Services;;08:00;12:00;13:00;16:00;;;SBB;3116-2024-03-28T00:00:00-9999;8503116
3122;Bubikon;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;3122-2024-05-01T00:00:00-9999;8503122
3123;Wetzikon;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;;08:00;12:00;13:15;17:00;;;SBB;3123-2024-08-01T00:00:00-9999;8503123
3123;Wetzikon;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;;08:00;12:00;13:15;17:00;;;SBB;3123-2024-04-01T00:00:00-9999;8503123
3125;Uster;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;;08:00;18:00;;;;;SBB;3125-2024-03-29T00:00:00-9999;8503125
3128;Dübendorf;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3128-2024-05-20T00:00:00-9999;8503128
3128;Dübendorf;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3128-2024-05-09T00:00:00-9999;8503128
3129;Wallisellen;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;3129-2024-05-01T00:00:00-9999;8503129
3134;Bauma;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3134-2024-04-01T00:00:00-9999;8503134
3138;Wald;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3138-2024-04-01T00:00:00-9999;8503138
3138;Wald;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;3138-2024-03-29T00:00:00-9999;8503138
3202;Thalwil;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3202-2024-05-09T00:00:00-9999;8503202
3204;Horgen;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;3204-2024-03-29T00:00:00-9999;8503204
3206;Wädenswil;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;;08:00;12:00;13:00;17:00;;;SBB;3206-2024-05-01T00:00:00-9999;8503206
3206;Wädenswil;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;;08:00;12:00;13:00;17:00;;;SBB;3206-2024-04-01T00:00:00-9999;8503206
3206;Wädenswil;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;;08:00;12:00;13:00;17:00;;;SBB;3206-2024-03-29T00:00:00-9999;8503206
3209;Pfäffikon SZ;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;3209-2024-03-29T00:00:00-9999;8503209
3220;Lachen;2024-05-30;Fronleichnam;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3220-2024-05-30T00:00:00-9999;8503220
3220;Lachen;2024-03-19;St. Josef;Tuesday;ja;9999;Alle Services;ja;;;;;;;SBB;3220-2024-03-19T00:00:00-9999;8503220
3225;Ziegelbrücke;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3225-2024-05-20T00:00:00-9999;8503225
3225;Ziegelbrücke;2024-03-30;Ostersamstag;Saturday;ja;9999;Alle Services;ja;;;;;;;SBB;3225-2024-03-30T00:00:00-9999;8503225
3230;Glarus;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;3230-2024-05-20T00:00:00-9999;8503230
3230;Glarus;2024-04-04;Näfelser Fahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3230-2024-04-04T00:00:00-9999;8503230
3283;Einsiedeln;2024-08-15;Maria Himmelfahrt;Thursday;ja;9999;Alle Services;;07:00;18:30;;;;;SOB;3283-2024-08-15T00:00:00-9999;8503283
3286;Samstagern;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SOB;3286-2024-05-20T00:00:00-9999;8503286
3286;Samstagern;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SOB;3286-2024-05-09T00:00:00-9999;8503286
3287;Burghalden;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SOB;3287-2024-04-01T00:00:00-9999;8503287
3301;Pfäffikon ZH;2024-05-19;Pfingsten;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;3301-2024-05-19T00:00:00-9999;8503301
3301;Pfäffikon ZH;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;3301-2024-05-01T00:00:00-9999;8503301
3305;Effretikon;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3305-2024-08-01T00:00:00-9999;8503305
3400;Bülach;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3400-2024-08-01T00:00:00-9999;8503400
3400;Bülach;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3400-2024-05-09T00:00:00-9999;8503400
3400;Bülach;2024-03-31;Ostern;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;3400-2024-03-31T00:00:00-9999;8503400
3424;Schaffhausen;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;;09:00;18:00;;;;;SBB;3424-2024-08-01T00:00:00-9999;8503424
3501;Döttingen;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3501-2024-08-01T00:00:00-9999;8503501
3501;Döttingen;2024-05-19;Pfingsten;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;3501-2024-05-19T00:00:00-9999;8503501
3501;Döttingen;2024-03-31;Ostern;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;3501-2024-03-31T00:00:00-9999;8503501
3504;Baden;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;;09:00;18:00;;;;;SBB;3504-2024-08-01T00:00:00-9999;8503504
3504;Baden;2024-05-30;Fronleichnam;Thursday;ja;9999;Alle Services;;07:30;19:00;;;;;SBB;3504-2024-05-30T00:00:00-9999;8503504
3504;Baden;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;;09:00;18:00;;;;;SBB;3504-2024-05-20T00:00:00-9999;8503504
3504;Baden;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;;09:00;18:00;;;;;SBB;3504-2024-05-09T00:00:00-9999;8503504
3504;Baden;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;;09:00;18:00;;;;;SBB;3504-2024-03-29T00:00:00-9999;8503504
3509;Schlieren;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;3509-2024-08-01T00:00:00-9999;8503509
3509;Schlieren;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;3509-2024-03-29T00:00:00-9999;8503509
4023;Romont;2024-08-15;Maria Himmelfahrt;Thursday;ja;2102;Reisebüro KTU;ja;;;;;;;TPF;4023-2024-08-15T00:00:00-2102;8504023
4023;Romont;2024-08-01;Bundesfeiertag;Thursday;ja;2126;Western Union KTU;ja;;;;;;;TPF;4023-2024-08-01T00:00:00-2126;8504023
4023;Romont;2024-05-30;Fronleichnam;Thursday;ja;700;Gepäckaufbewahrung;ja;;;;;;;TPF;4023-2024-05-30T00:00:00-700;8504023
4023;Romont;2024-05-30;Fronleichnam;Thursday;ja;9999;Alle Services;ja;;;;;;;TPF;4023-2024-05-30T00:00:00-9999;8504023
4023;Romont;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;TPF;4023-2024-05-20T00:00:00-9999;8504023
4023;Romont;2024-05-09;Auffahrt;Thursday;ja;2135;PickPost;ja;;;;;;;TPF;4023-2024-05-09T00:00:00-2135;8504023
4023;Romont;2024-04-01;Ostermontag;Monday;ja;2102;Reisebüro KTU;ja;;;;;;;TPF;4023-2024-04-01T00:00:00-2102;8504023
4023;Romont;2024-03-29;Karfreitag;Friday;ja;2126;Western Union KTU;ja;;;;;;;TPF;4023-2024-03-29T00:00:00-2126;8504023
4023;Romont;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;TPF;4023-2024-03-29T00:00:00-9999;8504023
4062;Châtel-St-Denis;2024-08-15;Maria Himmelfahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;TPF;4062-2024-08-15T00:00:00-9999;8504062
4062;Châtel-St-Denis;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;TPF;4062-2024-05-09T00:00:00-9999;8504062
4086;Bulle;2024-05-30;Fronleichnam;Thursday;ja;100;Billette, Abonnemente, Freizeitangebote;;08:00;12:00;13:00;17:00;;;TPF;4086-2024-05-30T00:00:00-100;8504086
4086;Bulle;2024-04-01;Ostermontag;Monday;ja;500;Gepäck;;08:00;12:00;13:00;17:00;;;TPF;4086-2024-04-01T00:00:00-500;8504086
4132;Estavayer-le-Lac TPF;2024-08-15;Maria Himmelfahrt;Thursday;ja;2102;Reisebüro KTU;ja;;;;;;;TPF;4132-2024-08-15T00:00:00-2102;8504132
4132;Estavayer-le-Lac TPF;2024-05-30;Fronleichnam;Thursday;ja;100;Billette, Abonnemente, Freizeitangebote;ja;;;;;;;TPF;4132-2024-05-30T00:00:00-100;8504132
4132;Estavayer-le-Lac TPF;2024-05-20;Pfingstmontag;Monday;ja;900;Fundservice;ja;;;;;;;TPF;4132-2024-05-20T00:00:00-900;8504132
4132;Estavayer-le-Lac TPF;2024-05-09;Auffahrt;Thursday;ja;2102;Reisebüro KTU;ja;;;;;;;TPF;4132-2024-05-09T00:00:00-2102;8504132
4134;Payerne;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;CFF;4134-2024-05-09T00:00:00-9999;8504134
4184;Courtepin;2024-05-20;Pfingstmontag;Monday;ja;1900;Drittverkauf;;08:00;12:30;;;;;TPF;4184-2024-05-20T00:00:00-1900;8504184
4200;Yverdon-les-Bains;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;;08:00;12:00;13:30;17:00;;;CFF;4200-2024-05-09T00:00:00-9999;8504200
4221;Neuchâtel;2024-08-01;Bundesfeiertag;Thursday;ja;100;Billette, Abonnemente, Freizeitangebote;;08:00;19:00;;;;;CFF;4221-2024-08-01T00:00:00-100;8504221
4221;Neuchâtel;2024-08-01;Bundesfeiertag;Thursday;ja;900;Fundservice;;08:00;19:00;;;;;CFF;4221-2024-08-01T00:00:00-900;8504221
4221;Neuchâtel;2024-05-20;Pfingstmontag;Monday;ja;900;Fundservice;;08:00;19:00;;;;;CFF;4221-2024-05-20T00:00:00-900;8504221
4221;Neuchâtel;2024-05-20;Pfingstmontag;Monday;ja;1000;Geldwechsel;;08:00;19:00;;;;;CFF;4221-2024-05-20T00:00:00-1000;8504221
4221;Neuchâtel;2024-05-20;Pfingstmontag;Monday;ja;2130;Gepäckausgabe;;08:00;19:00;;;;;CFF;4221-2024-05-20T00:00:00-2130;8504221
4221;Neuchâtel;2024-05-09;Auffahrt;Thursday;ja;900;Fundservice;;08:00;19:00;;;;;CFF;4221-2024-05-09T00:00:00-900;8504221
4221;Neuchâtel;2024-05-01;Tag der Arbeit;Wednesday;ja;900;Fundservice;;08:00;19:00;;;;;CFF;4221-2024-05-01T00:00:00-900;8504221
4221;Neuchâtel;2024-03-31;Ostern;Sunday;ja;2130;Gepäckausgabe;;08:00;19:00;;;;;CFF;4221-2024-03-31T00:00:00-2130;8504221
4221;Neuchâtel;2024-03-29;Karfreitag;Friday;ja;1000;Geldwechsel;;08:00;19:00;;;;;CFF;4221-2024-03-29T00:00:00-1000;8504221
4300;Biel/Bienne;2024-08-01;Bundesfeiertag;Thursday;ja;500;Gepäck;;09:00;18:00;;;;;SBB;4300-2024-08-01T00:00:00-500;8504300
4881;Fribourg, gare (TPF);2024-05-20;Pfingstmontag;Monday;ja;2102;Reisebüro KTU;ja;;;;;;;TPF;4881-2024-05-20T00:00:00-2102;8504881
4881;Fribourg, gare (TPF);2024-05-09;Auffahrt;Thursday;ja;2102;Reisebüro KTU;ja;;;;;;;TPF;4881-2024-05-09T00:00:00-2102;8504881
5000;Luzern;2024-05-30;Fronleichnam;Thursday;ja;100;Billette, Abonnemente, Freizeitangebote;;07:00;20:00;;;;;SBB;5000-2024-05-30T00:00:00-100;8505000
5000;Luzern;2024-05-20;Pfingstmontag;Monday;ja;900;Fundservice;;08:00;19:00;;;;;SBB;5000-2024-05-20T00:00:00-900;8505000
5000;Luzern;2024-05-19;Pfingsten;Sunday;ja;1100;Western Union;;07:00;20:00;;;;;SBB;5000-2024-05-19T00:00:00-1100;8505000
5000;Luzern;2024-05-19;Pfingsten;Sunday;ja;1400;Velovermietung;;08:00;19:00;;;;;SBB;5000-2024-05-19T00:00:00-1400;8505000
5000;Luzern;2024-05-09;Auffahrt;Thursday;ja;1100;Western Union;;07:00;20:00;;;;;SBB;5000-2024-05-09T00:00:00-1100;8505000
5000;Luzern;2024-04-01;Ostermontag;Monday;ja;900;Fundservice;;08:00;19:00;;;;;SBB;5000-2024-04-01T00:00:00-900;8505000
5000;Luzern;2024-03-31;Ostern;Sunday;ja;700;Gepäckaufbewahrung;;08:00;19:00;;;;;SBB;5000-2024-03-31T00:00:00-700;8505000
5000;Luzern;2024-03-31;Ostern;Sunday;ja;1000;Geldwechsel;;07:00;20:00;;;;;SBB;5000-2024-03-31T00:00:00-1000;8505000
5000;Luzern;2024-03-31;Ostern;Sunday;ja;1100;Western Union;;07:00;20:00;;;;;SBB;5000-2024-03-31T00:00:00-1100;8505000
5000;Luzern;2024-03-29;Karfreitag;Friday;ja;900;Fundservice;;08:00;19:00;;;;;SBB;5000-2024-03-29T00:00:00-900;8505000
5000;Luzern;2024-03-29;Karfreitag;Friday;ja;1000;Geldwechsel;;07:00;20:00;;;;;SBB;5000-2024-03-29T00:00:00-1000;8505000
5004;Arth-Goldau;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;5004-2024-08-01T00:00:00-9999;8505004
5004;Arth-Goldau;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;5004-2024-05-09T00:00:00-9999;8505004
5113;Altdorf;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;5113-2024-05-20T00:00:00-9999;8505113
5113;Altdorf;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;5113-2024-03-29T00:00:00-9999;8505113
5113;Altdorf;2024-03-19;St. Josef;Tuesday;ja;9999;Alle Services;ja;;;;;;;SBB;5113-2024-03-19T00:00:00-9999;8505113
5213;Bellinzona;2024-08-15;Maria Himmelfahrt;Thursday;ja;9999;Alle Services;;08:00;18:00;;;;;FFS;5213-2024-08-15T00:00:00-9999;8505213
5300;Lugano;2024-05-30;Fronleichnam;Thursday;ja;100;Billette, Abonnemente, Freizeitangebote;;08:00;19:00;;;;;FFS;5300-2024-05-30T00:00:00-100;8505300
5300;Lugano;2024-05-30;Fronleichnam;Thursday;ja;400;Kundendienst;ja;;;;;;;FFS;5300-2024-05-30T00:00:00-400;8505300
5300;Lugano;2024-05-30;Fronleichnam;Thursday;ja;1400;Velovermietung;;09:00;19:00;;;;;FFS;5300-2024-05-30T00:00:00-1400;8505300
5300;Lugano;2024-05-20;Pfingstmontag;Monday;ja;1200;Gruppenreisen;ja;;;;;;;FFS;5300-2024-05-20T00:00:00-1200;8505300
5300;Lugano;2024-05-19;Pfingsten;Sunday;ja;100;Billette, Abonnemente, Freizeitangebote;;08:00;19:00;;;;;FFS;5300-2024-05-19T00:00:00-100;8505300
5300;Lugano;2024-05-19;Pfingsten;Sunday;ja;500;Gepäck;;08:00;19:00;;;;;FFS;5300-2024-05-19T00:00:00-500;8505300
5300;Lugano;2024-05-19;Pfingsten;Sunday;ja;1100;Western Union;;08:00;19:00;;;;;FFS;5300-2024-05-19T00:00:00-1100;8505300
5300;Lugano;2024-04-01;Ostermontag;Monday;ja;500;Gepäck;;08:00;19:00;;;;;FFS;5300-2024-04-01T00:00:00-500;8505300
5300;Lugano;2024-04-01;Ostermontag;Monday;ja;900;Fundservice;;08:00;19:00;;;;;FFS;5300-2024-04-01T00:00:00-900;8505300
5300;Lugano;2024-03-19;St. Josef;Tuesday;ja;400;Kundendienst;ja;;;;;;;FFS;5300-2024-03-19T00:00:00-400;8505300
5300;Lugano;2024-03-19;St. Josef;Tuesday;ja;1100;Western Union;;08:00;19:00;;;;;FFS;5300-2024-03-19T00:00:00-1100;8505300
5300;Lugano;2024-03-19;St. Josef;Tuesday;ja;1200;Gruppenreisen;ja;;;;;;;FFS;5300-2024-03-19T00:00:00-1200;8505300
5305;Mendrisio;2024-08-15;Maria Himmelfahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;FFS;5305-2024-08-15T00:00:00-9999;8505305
5305;Mendrisio;2024-03-19;St. Josef;Tuesday;ja;9999;Alle Services;ja;;;;;;;FFS;5305-2024-03-19T00:00:00-9999;8505305
5307;Chiasso;2024-08-15;Maria Himmelfahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;FFS;5307-2024-08-15T00:00:00-9999;8505307
5307;Chiasso;2024-05-30;Fronleichnam;Thursday;ja;9999;Alle Services;ja;;;;;;;FFS;5307-2024-05-30T00:00:00-9999;8505307
5307;Chiasso;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;FFS;5307-2024-04-01T00:00:00-9999;8505307
5400;Locarno;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;;08:00;18:00;;;;;FFS;5400-2024-05-01T00:00:00-9999;8505400
5400;Locarno;2024-03-31;Ostern;Sunday;ja;9999;Alle Services;;08:00;18:00;;;;;FFS;5400-2024-03-31T00:00:00-9999;8505400
6000;Winterthur;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;;07:00;20:00;;;;;SBB;6000-2024-05-09T00:00:00-9999;8506000
6000;Winterthur;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;;07:00;20:00;;;;;SBB;6000-2024-05-01T00:00:00-9999;8506000
6000;Winterthur;2024-03-31;Ostern;Sunday;ja;9999;Alle Services;;07:00;20:00;;;;;SBB;6000-2024-03-31T00:00:00-9999;8506000
6047;Andelfingen;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;6047-2024-05-20T00:00:00-9999;8506047
6100;Frauenfeld;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;6100-2024-08-01T00:00:00-9999;8506100
6100;Frauenfeld;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;6100-2024-05-01T00:00:00-9999;8506100
6105;Weinfelden;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;6105-2024-03-29T00:00:00-9999;8506105
6109;Amriswil;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;6109-2024-08-01T00:00:00-9999;8506109
6109;Amriswil;2024-03-30;Ostersamstag;Saturday;ja;9999;Alle Services;ja;;;;;;;SBB;6109-2024-03-30T00:00:00-9999;8506109
6121;Romanshorn;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;;08:30;12:00;13:00;16:00;;;SBB;6121-2024-08-01T00:00:00-9999;8506121
6121;Romanshorn;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;;08:30;12:00;13:00;16:00;;;SBB;6121-2024-04-01T00:00:00-9999;8506121
6131;Kreuzlingen;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;6131-2024-08-01T00:00:00-9999;8506131
6131;Kreuzlingen;2024-05-19;Pfingsten;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;6131-2024-05-19T00:00:00-9999;8506131
6131;Kreuzlingen;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;6131-2024-03-29T00:00:00-9999;8506131
6139;Stein am Rhein;2024-05-01;Tag der Arbeit;Wednesday;ja;9999;Alle Services;ja;;;;;;;SBB;6139-2024-05-01T00:00:00-9999;8506139
6200;Wattwil;2024-05-20;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SOB;6200-2024-05-20T00:00:00-9999;8506200
6200;Wattwil;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SOB;6200-2024-03-29T00:00:00-9999;8506200
6206;Wil;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;;08:30;12:00;13:00;17:00;;;SBB;6206-2024-04-01T00:00:00-9999;8506206
6206;Wil;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;;08:30;12:00;13:00;17:00;;;SBB;6206-2024-03-29T00:00:00-9999;8506206
6208;Uzwil;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;6208-2024-08-01T00:00:00-9999;8506208
6208;Uzwil;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;6208-2024-04-01T00:00:00-9999;8506208
6208;Uzwil;2024-03-30;Ostersamstag;Saturday;ja;9999;Alle Services;;08:00;12:00;13:00;15:30;;;SBB;6208-2024-03-30T00:00:00-9999;8506208
6210;Gossau SG;2024-05-19;Pfingsten;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;6210-2024-05-19T00:00:00-9999;8506210
6210;Gossau SG;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;6210-2024-05-09T00:00:00-9999;8506210
6302;St. Gallen;2024-03-30;Ostersamstag;Saturday;ja;9999;Alle Services;;07:30;20:00;;;;;SBB;6302-2024-03-30T00:00:00-9999;8506302
6308;Arbon;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;6308-2024-05-09T00:00:00-9999;8506308
6311;Rorschach;2024-04-01;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;6311-2024-04-01T00:00:00-9999;8506311
6311;Rorschach;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;6311-2024-03-29T00:00:00-9999;8506311
6314;St. Margrethen;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;6314-2024-08-01T00:00:00-9999;8506314
6317;Heerbrugg;2024-03-31;Ostern;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;6317-2024-03-31T00:00:00-9999;8506317
6317;Heerbrugg;2024-03-29;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;6317-2024-03-29T00:00:00-9999;8506317
6393;Wittenbach;2024-08-01;Bundesfeiertag;Thursday;ja;9999;Alle Services;ja;;;;;;;SOB;6393-2024-08-01T00:00:00-9999;8506393
6393;Wittenbach;2024-05-09;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SOB;6393-2024-05-09T00:00:00-9999;8506393
7000;Bern;2024-08-01;Bundesfeiertag;Thursday;ja;500;Gepäck;;08:30;19:00;;;;;SBB;7000-2024-08-01T00:00:00-500;8507000
7000;Bern;2024-08-01;Bundesfeiertag;Thursday;ja;1200;Gruppenreisen;ja;;;;;;;SBB;7000-2024-08-01T00:00:00-1200;8507000
7000;Bern;2024-05-20;Pfingstmontag;Monday;ja;1000;Geldwechsel;;09:00;19:00;;;;;SBB;7000-2024-05-20T00:00:00-1000;8507000
7000;Bern;2024-05-09;Auffahrt;Thursday;ja;100;Billette, Abonnemente, Freizeitangebote;;07:00;20:00;;;;;SBB;7000-2024-05-09T00:00:00-100;8507000
7000;Bern;2024-05-09;Auffahrt;Thursday;ja;500;Gepäck;;08:30;19:00;;;;;SBB;7000-2024-05-09T00:00:00-500;8507000
7000;Bern;2024-05-09;Auffahrt;Thursday;ja;1100;Western Union;;07:00;20:00;;;;;SBB;7000-2024-05-09T00:00:00-1100;8507000
7000;Bern;2024-04-01;Ostermontag;Monday;ja;500;Gepäck;;08:30;19:00;;;;;SBB;7000-2024-04-01T00:00:00-500;8507000
7000;Bern;2024-04-01;Ostermontag;Monday;ja;1000;Geldwechsel;;09:00;19:00;;;;;SBB;7000-2024-04-01T00:00:00-1000;8507000
7000;Bern;2024-03-31;Ostern;Sunday;ja;500;Gepäck;;08:30;19:00;;;;;SBB;7000-2024-03-31T00:00:00-500;8507000
7000;Bern;2024-03-31;Ostern;Sunday;ja;1200;Gruppenreisen;ja;;;;;;;SBB;7000-2024-03-31T00:00:00-1200;8507000
